[ServerState.cpp               :  422] [14:04 35:468] _INFO [6920] [rtmp] onAck(after): sequenceNo=886255123, sentBytes=886255123, sendLimit=888755123(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:04 39:234] _INFO [6920] [rtmp] onAck(before): sequenceNo=887509011, sentBytes=887131581, sendLimit=888755123(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:04 39:234] _INFO [6920] [rtmp] onAck(after): sequenceNo=887509011, sentBytes=887509011, sendLimit=890009011(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:04 43:781] _INFO [6920] [rtmp] onAck(before): sequenceNo=888762225, sentBytes=888751147, sendLimit=890009011(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:04 43:781] _INFO [6920] [rtmp] onAck(after): sequenceNo=888762225, sentBytes=888762225, sendLimit=891262225(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:04 50:265] _INFO [6920] [rtmp] onAck(before): sequenceNo=890013940, sentBytes=890395825, sendLimit=891262225(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:04 50:265] _INFO [6920] [rtmp] onAck(after): sequenceNo=890013940, sentBytes=890013940, sendLimit=892513940(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:04 55:000] _INFO [6920] [rtmp] onAck(before): sequenceNo=891266061, sentBytes=891190535, sendLimit=892513940(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:04 55:000] _INFO [6920] [rtmp] onAck(after): sequenceNo=891266061, sentBytes=891266061, sendLimit=893766061(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:04 58:031] _INFO [6920] [rtmp] onAck(before): sequenceNo=892518646, sentBytes=892255176, sendLimit=893766061(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:04 58:031] _INFO [6920] [rtmp] onAck(after): sequenceNo=892518646, sentBytes=892518646, sendLimit=895018646(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:05 02:359] _INFO [6920] [rtmp] onAck(before): sequenceNo=893772285, sentBytes=893753204, sendLimit=895018646(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:05 02:359] _INFO [6920] [rtmp] onAck(after): sequenceNo=893772285, sentBytes=893772285, sendLimit=896272285(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:05 07:406] _INFO [6920] [rtmp] onAck(before): sequenceNo=895024591, sentBytes=895085650, sendLimit=896272285(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:05 07:406] _INFO [6920] [rtmp] onAck(after): sequenceNo=895024591, sentBytes=895024591, sendLimit=897524591(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:05 11:984] _INFO [6920] [rtmp] onAck(before): sequenceNo=896277488, sentBytes=896221542, sendLimit=897524591(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:05 11:984] _INFO [6920] [rtmp] onAck(after): sequenceNo=896277488, sentBytes=896277488, sendLimit=898777488(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:05 17:828] _INFO [6920] [rtmp] onAck(before): sequenceNo=897531371, sentBytes=897618947, sendLimit=898777488(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:05 17:828] _INFO [6920] [rtmp] onAck(after): sequenceNo=897531371, sentBytes=897531371, sendLimit=900031371(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:05 21:750] _INFO [6920] [rtmp] onAck(before): sequenceNo=898781389, sentBytes=898684187, sendLimit=900031371(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:05 21:750] _INFO [6920] [rtmp] onAck(after): sequenceNo=898781389, sentBytes=898781389, sendLimit=901281389(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:05 27:625] _INFO [6920] [rtmp] onAck(before): sequenceNo=900031891, sentBytes=900158236, sendLimit=901281389(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:05 27:625] _INFO [6920] [rtmp] onAck(after): sequenceNo=900031891, sentBytes=900031891, sendLimit=902531891(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:05 31:281] _INFO [6920] [rtmp] onAck(before): sequenceNo=901284336, sentBytes=901193851, sendLimit=902531891(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:05 31:281] _INFO [6920] [rtmp] onAck(after): sequenceNo=901284336, sentBytes=901284336, sendLimit=903784336(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:05 36:406] _INFO [6920] [rtmp] onAck(before): sequenceNo=902536681, sentBytes=902558154, sendLimit=903784336(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:05 36:406] _INFO [6920] [rtmp] onAck(after): sequenceNo=902536681, sentBytes=902536681, sendLimit=905036681(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:05 41:109] _INFO [6920] [rtmp] onAck(before): sequenceNo=903789372, sentBytes=903801377, sendLimit=905036681(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:05 41:109] _INFO [6920] [rtmp] onAck(after): sequenceNo=903789372, sentBytes=903789372, sendLimit=906289372(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:05 45:453] _INFO [6920] [rtmp] onAck(before): sequenceNo=905042801, sentBytes=904960939, sendLimit=906289372(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:05 45:453] _INFO [6920] [rtmp] onAck(after): sequenceNo=905042801, sentBytes=905042801, sendLimit=907542801(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:05 50:343] _INFO [6920] [rtmp] onAck(before): sequenceNo=906294427, sentBytes=906364198, sendLimit=907542801(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:05 50:343] _INFO [6920] [rtmp] onAck(after): sequenceNo=906294427, sentBytes=906294427, sendLimit=908794427(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:05 55:859] _INFO [6920] [rtmp] onAck(before): sequenceNo=907545623, sentBytes=907735610, sendLimit=908794427(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:05 55:859] _INFO [6920] [rtmp] onAck(after): sequenceNo=907545623, sentBytes=907545623, sendLimit=910045623(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:06 00:062] _INFO [6920] [rtmp] onAck(before): sequenceNo=908799549, sentBytes=908597432, sendLimit=910045623(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:06 00:062] _INFO [6920] [rtmp] onAck(after): sequenceNo=908799549, sentBytes=908799549, sendLimit=911299549(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:06 05:093] _INFO [6920] [rtmp] onAck(before): sequenceNo=910052833, sentBytes=910068590, sendLimit=911299549(type:3, code:0x00400000)
